polytechnic_name,polytechnic_code,probidhan,Session_year,student_roll,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,185538,null,null,null,null,null,null,"65853(T), 66671(T),
66676(T) ",null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,188047,null,null,null,null,null,null,66772(P) ,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,400096,null,null,null,null,null,null,"66272(T), 67162(T) ",null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,400119,null,null,null,null,null,null,"66641(T), 66662(T),
68546(T) ",null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500031,null,null,null,null,null,null,"66641(T), 66661(T),
66662(T) ",null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500042,null,null,null,null,null,null,"66641(T), 66661(T),
66662(T) ",null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500092,null,null,null,null,null,null,"67064(T), 67071(T) ",null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500104,null,null,null,null,null,null,"67064(T), 67071(T),
67073(T) ",null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,101135,null,null,null,null,null,null,"65853(T), 66631(T),
66752(T), 66762(T), 66771(T,P),
66772(P), 66773(T,P), 66774(T,P),
66775(T,P), 66856(T), 66863(T,P) ",null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500021,null,null,null,null,null,null,"66463(T), 66471(P),
66472(P), 66473(P), 66474(T,P),
66475(P), 68873(P) ",null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500022,null,null,null,null,null,null,"66463(T), 66471(P),
66472(P), 66473(P), 66474(P),
66475(P), 68873(P) ",null
"Rainbow Polytechnic Institute, Panchagar",11047,2016,2020-2021,500117,null,null,null,null,null,null,"66631(T), 66772(P) ",null
"Minal Private Polytechnic Institute, Panchagar",11057,2016,2020-2021,500148,null,null,null,null,null,null,"66641(T), 66651(T) ",null
