polytechnic_name,polytechnic_code,probidhan,Session_year,student_roll,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,101135,null,null,null,null,null,"66631(T), 66752(T),
66762(T), 66856(T) ",null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,185538,null,null,null,null,null,"66661(T), 69054(T) ",null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,400096,null,null,null,null,null,"67162(T), 69054(T) ",null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,400119,null,null,null,null,null,"66641(T), 66653(T),
66661(T), 66662(T), 68546(T) ",null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500021,null,null,null,null,null,"66456(T), 66463(T) ",null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500022,null,null,null,null,null,"66456(T), 66463(T) ",null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500027,null,null,null,null,null,66456(T) ,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500031,null,null,null,null,null,"66641(T), 66653(T),
66661(T), 66662(T), 68546(T) ",null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500042,null,null,null,null,null,"66641(T), 66661(T),
66662(T) ",null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500092,null,null,null,null,null,"67063(T), 67064(T) ",null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500104,null,null,null,null,null,67064(T) ,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500090,null,null,null,null,null,"66631(T), 67051(T),
67061(T), 67062(T), 67063(T),
67064(T) ",null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500098,null,null,null,null,null,"66631(T), 67051(T),
67062(T), 67063(T), 67064(T),
67065(T) ",null,null
"Balarampur Polytechnic Institute, Panchagar",11055,2016,2020-2021,500119,null,null,null,null,null,"66661(T), 66662(T) ",null,null
"Balarampur Polytechnic Institute, Panchagar",11055,2016,2020-2021,500128,null,null,null,null,null,"66661(T), 68546(T) ",null,null
"Minal Private Polytechnic Institute, Panchagar",11057,2016,2020-2021,101203,null,null,null,null,null,"66631(T), 66762(T),
66856(T) ",null,null
"Minal Private Polytechnic Institute, Panchagar",11057,2016,2020-2021,400245,null,null,null,null,null,"66762(T), 66856(T),
66868(T) ",null,null
"Minal Private Polytechnic Institute, Panchagar",11057,2016,2020-2021,500148,null,null,null,null,null,"66641(T), 66651(T),
66661(T), 68546(T) ",null,null
"Minal Private Polytechnic Institute, Panchagar",11057,2016,2020-2021,500159,null,null,null,null,null,69054(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101273,null,null,null,null,null,"66653(T), 66661(T),
66664(T), 68546(T), 69054(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101462,null,null,null,null,null,"66363(T), 66941(T),
67045(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101483,null,null,null,null,null,66363(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101518,null,null,null,null,null,"66363(T), 66963(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101559,null,null,null,null,null,"65851(T), 66363(T,P),
66963(P), 67045(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101572,null,null,null,null,null,67243(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,126067,null,null,null,null,null,"66845(T), 67041(T),
67064(T), 67131(T), 69262(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,185302,null,null,null,null,null,69262(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,185816,null,null,null,null,null,66661(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,301046,null,null,null,null,null,"67055(T), 67064(T),
67131(T), 69262(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400038,null,null,null,null,null,"66653(T), 66661(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400284,null,null,null,null,null,"66641(T), 66661(T),
66662(T), 66664(T), 66842(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400315,null,null,null,null,null,"66641(T), 66651(T),
66653(T), 66661(T), 66662(T),
66664(T), 68546(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400323,null,null,null,null,null,"66653(T), 66661(T),
66662(T), 66664(T), 66842(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400335,null,null,null,null,null,"66661(T), 66662(T),
66664(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400350,null,null,null,null,null,"66653(T), 68546(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400363,null,null,null,null,null,"66653(T), 66661(T),
66662(T), 66664(T), 66842(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400377,null,null,null,null,null,"66641(T), 66653(T),
66661(T), 66662(T), 66842(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400382,null,null,null,null,null,"66641(T), 66653(T),
66661(T), 66662(T), 66664(T) ",null,null
