polytechnic_name,polytechnic_code,probidhan,Session_year,student_roll,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2022-2023,700022,null,null,3.44,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2022-2023,700025,null,null,3.38,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2022-2023,700028,null,null,3.39,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2022-2023,790083,null,null,3.54,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2022-2023,790084,null,null,3.49,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700051,null,null,3.12,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700055,null,null,3.12,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700058,null,null,2.93,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700061,null,null,3.54,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700065,null,null,3.39,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700066,null,null,2.90,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700068,null,null,3.48,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700086,null,null,3.15,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700097,null,null,3.43,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700108,null,null,3.23,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700122,null,null,3.21,null,null,null,null,null
