polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2019-2020,101150,null,null,null,null,null,null,null,"66761(T), 66762(T),
66771(T), 66781(P), 66856(T),
66863(T)"
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2019-2020,400142,null,null,null,null,null,null,null,66863(T)
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2019-2020,400146,null,null,null,null,null,null,null,"66631(T), 66742(T),
66863(T)"
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2019-2020,400154,null,null,null,null,null,null,null,66863(T)
"Rainbow Polytechnic Institute, Panchagar",11047,2016,2019-2020,101184,null,null,null,null,null,null,null,66863(T)
"Rainbow Polytechnic Institute, Panchagar",11047,2016,2019-2020,400198,null,null,null,null,null,null,null,"66441(T), 66454(T),
66474(T)"
"Balarampur Polytechnic Institute, Panchagar",11055,2016,2019-2020,101198,null,null,null,null,null,null,null,"66851(T), 66853(T),
66861(T), 66873(T)"
"Minal Private Polytechnic Institute, Panchagar",11057,2016,2019-2020,400232,null,null,null,null,null,null,null,66661(T)
"Minal Private Polytechnic Institute, Panchagar",11057,2016,2019-2020,400238,null,null,null,null,null,null,null,"66761(T), 66773(T),
66781(P), 66856(T), 66863(T),
66867(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101249,null,null,null,null,null,null,null,"66641(T), 66665(T),
66676(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101288,null,null,null,null,null,null,null,66842(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101289,null,null,null,null,null,null,null,66842(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101300,null,null,null,null,null,null,null,66842(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101349,null,null,null,null,null,null,null,"66641(T), 66653(T),
66662(T), 66678(T), 66681(P),
66842(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101372,null,null,null,null,null,null,null,"66653(T), 66842(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101422,null,null,null,null,null,null,null,"66972(T), 66973(T),
66974(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101486,null,null,null,null,null,null,null,"66363(T), 66963(T),
67045(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101534,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101624,null,null,null,null,null,null,null,67271(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101674,null,null,null,null,null,null,null,"66454(T), 66463(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101737,null,null,null,null,null,null,null,"66631(T), 66834(T),
66845(T), 66867(T), 67131(T),
69251(T), 69262(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,101763,null,null,null,null,null,null,null,"66845(T), 66867(T),
67064(T), 67071(T), 67131(T),
67162(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,108993,null,null,null,null,null,null,null,"66454(T), 66463(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,182211,null,null,null,null,null,null,null,"66971(T), 67045(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,183986,null,null,null,null,null,null,null,"65851(T), 66653(T),
66661(T), 66842(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,185541,null,null,null,null,null,null,null,66653(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400009,null,null,null,null,null,null,null,66842(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400020,null,null,null,null,null,null,null,66842(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400281,null,null,null,null,null,null,null,66672(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400282,null,null,null,null,null,null,null,66661(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400306,null,null,null,null,null,null,null,66672(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400313,null,null,null,null,null,null,null,66672(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400316,null,null,null,null,null,null,null,"66653(T), 66661(T),
66671(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400325,null,null,null,null,null,null,null,"66653(T), 66672(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400328,null,null,null,null,null,null,null,66672(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400373,null,null,null,null,null,null,null,"66651(T), 66653(T),
66661(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400405,null,null,null,null,null,null,null,66662(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400422,null,null,null,null,null,null,null,66672(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400437,null,null,null,null,null,null,null,66642(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400463,null,null,null,null,null,null,null,"66363(T), 67045(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400466,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400468,null,null,null,null,null,null,null,67045(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400524,null,null,null,null,null,null,null,67045(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400526,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400617,null,null,null,null,null,null,null,67271(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400703,null,null,null,null,null,null,null,"66454(T), 66463(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400712,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400716,null,null,null,null,null,null,null,"66454(T), 66463(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400720,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400724,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400730,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400731,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400732,null,null,null,null,null,null,null,"66454(T), 66463(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400736,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400740,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400746,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400751,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400756,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400762,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400770,null,null,null,null,null,null,null,"65851(T), 66463(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2019-2020,400797,null,null,null,null,null,null,null,66463(T)
