polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,400119,null,null,null,null,"66641(T), 66642(T),
66653(T), 68546(T)",null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500021,null,null,null,null,66456(T),null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500022,null,null,null,null,"66441(T), 66455(T),
66456(T)",null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500027,null,null,null,null,"66455(T), 66456(T)",null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500031,null,null,null,null,"66641(T), 66653(T),
68546(T)",null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500042,null,null,null,null,"66641(T), 66653(T),
68546(T)",null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500090,null,null,null,null,"66631(T), 67051(T),
67055(T)",null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500098,null,null,null,null,"66631(T), 67051(T),
67055(T)",null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500104,null,null,null,null,"67051(T), 67055(T)",null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,400132,null,null,null,null,"65851(T), 66641(T),
66642(T), 66651(T), 66653(T),
66842(T), 68546(T)",null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500011,null,null,null,null,"65851(T), 66441(T),
66442(T), 66444(T), 66451(T,P),
66452(T,P), 66453(T,P), 66454(T,P),
66455(T,P), 66456(T,P)",null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500088,null,null,null,null,"65851(T), 66631(T),
66743(T), 67051(T,P), 67052(T,P),
67053(T), 67054(T,P), 67055(T)",null,null,null
"Rainbow Polytechnic Institute, Panchagar",11047,2016,2020-2021,500116,null,null,null,null,"66631(T), 66751(T)",null,null,null
"Rainbow Polytechnic Institute, Panchagar",11047,2016,2020-2021,500117,null,null,null,null,66631(T),null,null,null
"Balarampur Polytechnic Institute, Panchagar",11055,2016,2020-2021,500119,null,null,null,null,68546(T),null,null,null
"Balarampur Polytechnic Institute, Panchagar",11055,2016,2020-2021,500128,null,null,null,null,"66653(T), 68546(T)",null,null,null
"Minal Private Polytechnic Institute, Panchagar",11057,2016,2020-2021,500148,null,null,null,null,"66641(T), 66651(T),
68546(T)",null,null,null
"Minal Private Polytechnic Institute, Panchagar",11057,2016,2020-2021,500156,null,null,null,null,"66653(T), 68546(T)",null,null,null
"Minal Private Polytechnic Institute, Panchagar",11057,2016,2020-2021,500159,null,null,null,null,68546(T),null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101273,null,null,null,null,"66653(T), 68546(T)",null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101454,null,null,null,null,"66353(T), 66941(T),
66945(T), 67045(T)",null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101559,null,null,null,null,"65851(T), 66353(T),
67045(T)",null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101572,null,null,null,null,"67243(T), 67253(T)",null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400038,null,null,null,null,66653(T),null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400284,null,null,null,null,"66641(T), 66842(T),
68546(T)",null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400315,null,null,null,null,"66641(T), 66651(T),
66653(T), 68546(T)",null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400323,null,null,null,null,"66653(T), 66842(T),
68546(T)",null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400335,null,null,null,null,68546(T),null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400350,null,null,null,null,"66653(T), 68546(T)",null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400363,null,null,null,null,"66653(T), 66842(T),
68546(T)",null,null,null
