polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,185815,null,null,null,"66631(T), 66742(T),
67045(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,188047,null,null,null,67045(T),null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,400119,null,null,null,"66641(T), 66642(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,400132,null,null,null,"66641(T), 66642(T),
66842(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500011,null,null,null,"66441(T), 66442(T),
66444(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500021,null,null,null,"66441(T), 66444(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500022,null,null,null,"66441(T), 66444(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500027,null,null,null,"66441(T), 66444(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500029,null,null,null,"66441(T), 66442(T),
66444(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500031,null,null,null,66641(T),null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500037,null,null,null,66641(T),null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500042,null,null,null,66641(T),null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500088,null,null,null,"66631(T), 66743(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500090,null,null,null,"66631(T), 66743(T),
67041(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500092,null,null,null,66631(T),null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500098,null,null,null,"66631(T), 66743(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500104,null,null,null,"66631(T), 66743(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,183991,null,null,null,"66631(T), 66741(T),
66742(T), 67045(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,400125,null,null,null,"66641(T), 66642(T),
66644(T), 66842(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,400173,null,null,null,"66631(T), 66743(T),
67043(T), 69054(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,400174,null,null,null,"65841(T), 66631(T,P),
66743(T,P), 67041(T,P), 67042(T,P),
67043(T,P), 69054(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500024,null,null,null,"65841(T), 66441(T),
66442(T), 66443(T), 66444(T),
66445(T), 69054(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500061,null,null,null,"66631(T), 66741(T),
66742(T), 67045(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500073,null,null,null,"66631(T), 66741(T),
66742(T), 67045(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500081,null,null,null,"65841(T), 66631(T,P),
66741(T,P), 66742(T,P), 66845(T,P),
67045(T,P)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500083,null,null,null,"65841(T), 66631(T,P),
66741(T,P), 66742(T,P), 66845(T,P),
67045(T,P)",null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2016,2020-2021,500105,null,null,null,"65841(T), 66631(T),
66743(T), 67041(T), 67042(T),
67043(T), 69054(T)",null,null,null,null
"Rainbow Polytechnic Institute ,Panchagar",11047,2016,2020-2021,500116,null,null,null,66631(T),null,null,null,null
"Rainbow Polytechnic Institute ,Panchagar",11047,2016,2020-2021,500117,null,null,null,"66631(T), 66742(T),
67045(T)",null,null,null,null
"Rainbow Polytechnic Institute ,Panchagar",11047,2016,2020-2021,101165,null,null,null,"66441(T), 66442(T),
66444(T), 69054(T)",null,null,null,null
"Rainbow Polytechnic Institute ,Panchagar",11047,2016,2020-2021,500109,null,null,null,"66441(T), 66442(T),
66443(T), 66444(T), 69054(T)",null,null,null,null
"Rainbow Polytechnic Institute ,Panchagar",11047,2016,2020-2021,500110,null,null,null,"66441(T), 66442(T),
66443(T), 66444(T), 66445(T),
69054(T)",null,null,null,null
"Rainbow Polytechnic Institute ,Panchagar",11047,2016,2020-2021,500115,null,null,null,"66631(T), 66741(T),
66742(T), 67045(T)",null,null,null,null
"Balarampur Polytechnic Institute ,Panchagar",11055,2016,2020-2021,400215,null,null,null,"66641(T), 66642(T)",null,null,null,null
"Balarampur Polytechnic Institute ,Panchagar",11055,2016,2020-2021,500128,null,null,null,"66641(T), 66644(T)",null,null,null,null
"Balarampur Polytechnic Institute ,Panchagar",11055,2016,2020-2021,500146,null,null,null,"66631(T), 66743(T),
66841(T)",null,null,null,null
"Balarampur Polytechnic Institute ,Panchagar",11055,2016,2020-2021,944060,null,null,null,"66631(T), 66743(T),
66841(T)",null,null,null,null
"Balarampur Polytechnic Institute ,Panchagar",11055,2016,2020-2021,490627,null,null,null,"66641(T), 66642(T),
66644(T), 66842(T)",null,null,null,null
"Minal Private Polytechnic Institute ,Panchagar",11057,2016,2020-2021,400233,null,null,null,"66641(T), 66642(T),
66644(T)",null,null,null,null
"Minal Private Polytechnic Institute ,Panchagar",11057,2016,2020-2021,400237,null,null,null,"66631(T), 66742(T),
67045(T)",null,null,null,null
"Minal Private Polytechnic Institute ,Panchagar",11057,2016,2020-2021,500148,null,null,null,"66641(T), 66645(T)",null,null,null,null
"Minal Private Polytechnic Institute ,Panchagar",11057,2016,2020-2021,500149,null,null,null,"66641(T), 66645(T)",null,null,null,null
"Minal Private Polytechnic Institute ,Panchagar",11057,2016,2020-2021,500156,null,null,null,66645(T),null,null,null,null
"Minal Private Polytechnic Institute ,Panchagar",11057,2016,2020-2021,500159,null,null,null,"66641(T), 66645(T)",null,null,null,null
"Minal Private Polytechnic Institute ,Panchagar",11057,2016,2020-2021,500160,null,null,null,"66641(T), 66645(T)",null,null,null,null
"Minal Private Polytechnic Institute ,Panchagar",11057,2016,2020-2021,500174,null,null,null,"66742(T), 67045(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,101273,null,null,null,"66641(T), 66644(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,101454,null,null,null,"66941(T), 66945(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,101478,null,null,null,"66942(T), 66945(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,101572,null,null,null,"67242(T), 67243(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,185302,null,null,null,"66743(T), 66834(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,185816,null,null,null,"66641(T), 66645(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400038,null,null,null,66641(T),null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400284,null,null,null,"66641(T), 66645(T),
66842(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400323,null,null,null,"66641(T), 66645(T),
66842(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400335,null,null,null,"66641(T), 66645(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400350,null,null,null,"66641(T), 66645(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400363,null,null,null,"66641(T), 66644(T),
66842(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400377,null,null,null,"66641(T), 66644(T),
66842(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400382,null,null,null,"66641(T), 66644(T),
66645(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400391,null,null,null,"66641(T), 66645(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400413,null,null,null,66641(T),null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400417,null,null,null,"66641(T), 66642(T),
66644(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400513,null,null,null,"66941(T), 66945(T),
69054(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400523,null,null,null,69054(T),null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400579,null,null,null,"66945(T), 69054(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400619,null,null,null,"65841(T), 67242(T),
67243(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400629,null,null,null,67242(T),null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400636,null,null,null,67243(T),null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400642,null,null,null,67243(T),null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400657,null,null,null,"65841(T), 67243(T),
67244(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400679,null,null,null,"65841(T), 67242(T),
67243(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400698,null,null,null,67243(T),null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400704,null,null,null,"66447(T), 68742(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,400794,null,null,null,"66447(T), 68742(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,490646,null,null,null,"67041(T), 67242(T),
67243(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,491188,null,null,null,67242(T),null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,500177,null,null,null,"66641(T), 66644(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,500179,null,null,null,"66641(T), 66644(T),
66842(T)",null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,500189,null,null,null,66641(T),null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2016,2020-2021,500192,null,null,null,"66641(T), 66644(T)",null,null,null,null
