polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600038,null,"25912(T), 25921(T),
25922(T), 26711(T), 26721(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600040,null,"25911(T), 25912(T),
25921(T), 25922(T), 26711(T),
26721(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600050,null,"25912(T), 25913(T),
26811(T), 28521(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600054,null,"25912(T), 25913(T),
25921(T), 26711(T), 28521(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600057,null,"25911(T), 25912(T),
25913(T), 26711(T), 28521(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600010,null,"25912(T), 25921(T),
25922(T), 26721(T), 26722(T),
26811(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600018,null,"25911(T), 25912(T),
25921(T), 25922(T), 26711(T),
26721(T), 26811(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600019,null,"25721(T), 25912(T),
25921(T), 25922(T), 26711(T),
26721(T), 26722(T), 26811(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600026,null,"25912(T), 25921(T),
25922(T), 26711(T), 26721(T),
26722(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600032,null,"25721(T), 25911(T),
25912(T), 25921(T), 25922(T),
26711(T), 26721(T), 26722(T),
26811(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600033,null,"25721(T), 25722(T),
25912(T), 25921(T,P), 25922(T,P),
26721(T,P), 26722(T,P), 26811(T,P)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600034,null,"25721(T), 25911(T),
25912(T), 25921(T), 25922(T),
26711(T), 26721(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600036,null,"25911(T), 25912(T),
25921(T), 25922(T), 26711(T),
26721(T), 26722(T), 26811(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600043,null,"25721(T), 25911(T),
25913(T), 25922(T), 26711(T),
27021(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600044,null,"25911(T), 25912(T),
25913(T), 25921(T), 25922(T),
26711(T), 27021(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600046,null,"25721(T), 25912(T),
25913(T), 25921(T), 26711(T),
26811(T), 28521(T)",null,null,null,null,null,null
"Himaloy Polytechnic Institute of Technology ,Panchagar",11044,2022,2021-2022,600051,null,"25721(T), 25912(T),
25913(T), 25921(T), 26811(T),
28521(T)",null,null,null,null,null,null
"Rainbow Polytechnic Institute ,Panchagar",11047,2022,2021-2022,600071,null,"25721(T), 25911(T),
25912(T), 25922(T), 26711(T),
26721(T), 26811(T)",null,null,null,null,null,null
"Minal Private Polytechnic Institute ,Panchagar",11057,2022,2021-2022,600101,null,"25911(T), 25913(T),
26811(T), 28521(T)",null,null,null,null,null,null
"Minal Private Polytechnic Institute ,Panchagar",11057,2022,2021-2022,600103,null,"26811(T), 28521(T)",null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,400844,null,"25911(T), 25921(T),
25922(T)",null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,500570,null,"25912(T), 25921(T),
28521(T)",null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,500858,null,"25913(T), 25921(T),
26711(T), 27211(T)",null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,501179,null,"25921(T), 25922(T)",null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600105,null,"25921(T), 26411(T)",null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600116,null,25912(T),null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600119,null,"25912(T), 25921(T),
26411(T), 26711(T)",null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600131,null,25912(T),null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600132,null,25912(T),null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600137,null,26411(T),null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600138,null,25921(T),null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600139,null,"25912(T), 26411(T)",null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600144,null,"25912(T), 26411(T)",null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600150,null,"25912(T), 25921(T),
26411(T), 26711(T)",null,null,null,null,null,null
