polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,189266,null,null,"25831(T), 25931(T),
26411(T)",null,null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,600038,null,null,"25913(T), 25921(T),
25931(T), 26721(T), 26731(T),
26833(T)",null,null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,600050,null,null,"25912(T), 25913(T),
25931(T), 26811(T), 26831(T),
28521(T), 28531(T), 28533(T)",null,null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,600054,null,null,"25912(T), 25913(T),
25931(T), 26831(T), 28521(T),
28531(T), 28533(T)",null,null,null,null,null
"Rainbow Polytechnic Institute, Panchagar",11047,2022,2021-2022,600070,null,null,"25931(T), 26731(T),
26833(T)",null,null,null,null,null
"Minal Private Polytechnic Institute, Panchagar",11057,2022,2021-2022,600101,null,null,"25911(T), 25913(T),
25931(T), 26831(T), 28521(T),
28531(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,188100,null,null,"25922(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,188101,null,null,"25931(T), 26831(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,188102,null,null,28533(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,188106,null,null,"25931(T), 26831(T),
28531(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,189584,null,null,"25931(T), 26831(T),
28533(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,400844,null,null,"25911(T), 25921(T),
25922(T), 25931(T), 26821(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,501179,null,null,"25921(T), 25931(T),
26821(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600105,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600119,null,null,"25921(T), 25922(T),
25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600120,null,null,"25922(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600131,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600132,null,null,"25922(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600150,null,null,"25921(T), 25922(T),
25931(T), 26132(T), 26411(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600157,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600171,null,null,"25911(T), 25931(T),
26132(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600180,null,null,"25931(T), 26121(T),
26132(T), 26411(T), 26711(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600183,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600186,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600188,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600189,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600192,null,null,25911(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600193,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600194,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600195,null,null,"25921(T), 25922(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600198,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600200,null,null,"25921(T), 26711(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600201,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600203,null,null,"25931(T), 26132(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600205,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600211,null,null,25922(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600212,null,null,"25921(T), 25931(T),
26133(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600217,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600218,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600219,null,null,"25911(T), 25931(T),
26711(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600223,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600226,null,null,"25922(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600228,null,null,"25912(T), 25921(T),
25922(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600231,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600234,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600235,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600239,null,null,"25921(T), 25922(T),
25931(T), 26132(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600246,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600247,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600252,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600263,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600264,null,null,"25921(T), 25922(T),
25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600277,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600279,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600281,null,null,"25912(T), 25921(T),
25931(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600287,null,null,"25912(T), 25921(T),
25931(T), 26711(T), 26811(T),
26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600289,null,null,"25931(T), 26711(T),
26811(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600294,null,null,"25912(T), 25921(T),
25931(T), 26711(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600301,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600306,null,null,"25931(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600307,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600316,null,null,"25931(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600318,null,null,"25911(T), 25912(T),
25921(T), 25922(T), 25931(T),
26711(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600320,null,null,"25912(T), 25931(T),
26711(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600345,null,null,26811(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600351,null,null,"25811(T), 25921(T),
25931(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600352,null,null,"25912(T), 25921(T),
25931(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600353,null,null,"25931(T), 26811(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600354,null,null,26932(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600359,null,null,"25911(T), 25912(T),
25921(T), 25931(T), 26811(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600361,null,null,"25911(T), 25913(T),
25921(T), 25931(T), 26711(T),
26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600368,null,null,25922(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600371,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600380,null,null,"25911(T), 25922(T),
25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600382,null,null,"25922(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600383,null,null,"25912(T), 25921(T),
26711(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600388,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600391,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600393,null,null,"25921(T), 25922(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600397,null,null,"25921(T), 25922(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600401,null,null,"25921(T), 25922(T),
25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600405,null,null,25921(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600407,null,null,"25921(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600408,null,null,26932(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600411,null,null,"25911(T), 25912(T),
25921(T), 25922(T), 25931(T),
26711(T), 26811(T), 26911(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600415,null,null,"25912(T), 25913(T),
25921(T), 25922(T), 25931(T),
26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600419,null,null,"25913(T), 26711(T),
26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600420,null,null,"25912(T), 25921(T),
26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600421,null,null,"25921(T), 25922(T),
25931(T), 26711(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600422,null,null,"25911(T), 25921(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600426,null,null,"25911(T), 25912(T),
25921(T), 25922(T), 25931(T),
26911(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600427,null,null,"25911(T), 25921(T),
25931(T), 26711(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600430,null,null,"25921(T), 25922(T),
25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600435,null,null,"25921(T), 25922(T),
26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600438,null,null,"25911(T), 25922(T),
26711(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600445,null,null,25922(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600463,null,null,"25921(T), 25931(T),
26711(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600474,null,null,25922(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600475,null,null,26932(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600484,null,null,"25931(T), 26711(T),
26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600488,null,null,25922(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600491,null,null,"25922(P), 25931(T),
26931(P)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600498,null,null,"25911(T), 25931(T),
26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600499,null,null,"25922(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600507,null,null,"25912(T), 25931(T),
26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600513,null,null,"26931(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600518,null,null,25922(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600520,null,null,"25922(T), 26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600522,null,null,"25921(T), 25922(T),
26932(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600526,null,null,"25931(T), 27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600532,null,null,"25921(T), 25931(T),
26811(T), 27131(T), 27211(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600537,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600547,null,null,"25921(T), 25931(T),
27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600550,null,null,"25921(T), 25931(T),
26211(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600560,null,null,"25931(T), 27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600563,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600568,null,null,"25921(T), 25931(T),
27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600572,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600574,null,null,25931(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600577,null,null,26811(T),null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600578,null,null,"25921(T), 25931(T),
27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600579,null,null,"25921(T), 25931(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600587,null,null,"25913(T), 25921(T),
26711(T), 27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600588,null,null,"25931(T), 27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600591,null,null,"25921(T), 25922(T),
25931(T), 26711(T), 27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600595,null,null,"25931(T), 27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600607,null,null,"25922(T), 25931(T),
27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600609,null,null,"25921(T), 25922(T),
25931(T), 26711(T), 27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600610,null,null,"25911(T), 25921(T),
25922(T), 25931(T), 26711(T),
27131(T)",null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600616,null,null,"25922(T), 25931(T),
26711(T), 27131(T)",null,null,null,null,null
