polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,190002,3.50,3.75,3.50,3.36,3.40,3.46,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,190003,3.50,3.75,3.50,3.17,3.39,3.50,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,190004,3.00,3.75,3.11,3.31,3.26,3.50,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,600005,3.70,3.88,3.67,3.95,3.96,3.96,null,null
"Rainbow Polytechnic Institute, Panchagar",11047,2022,2021-2022,600070,3.50,3.33,3.18,3.15,3.05,3.41,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,188102,3.50,2.75,2.88,2.60,2.80,3.36,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,188103,3.75,2.90,2.88,2.62,2.69,3.21,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,188104,3.75,3.70,3.44,3.56,3.45,3.80,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,189584,3.75,3.05,2.75,2.77,2.79,3.48,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600107,3.57,3.13,3.29,3.32,2.76,3.37,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600111,3.88,3.70,3.79,3.79,3.71,3.57,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600116,3.10,3.06,3.04,3.42,3.34,3.25,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600120,3.21,2.96,2.83,3.02,3.30,3.04,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600125,3.71,3.25,3.25,3.00,2.78,3.05,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600131,3.26,3.02,3.23,3.54,3.47,3.32,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600138,3.71,3.25,3.30,3.50,3.39,3.28,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600144,3.71,3.27,2.96,3.33,3.29,3.26,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600149,3.81,3.30,3.49,3.57,3.51,3.37,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600154,3.88,3.54,3.48,3.26,3.26,3.71,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600170,3.83,3.44,3.29,3.26,3.28,3.28,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600173,3.50,3.11,2.86,2.74,3.04,2.84,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600179,3.60,3.32,3.37,3.67,3.47,3.42,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600182,3.74,3.33,3.27,2.40,2.53,2.96,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600183,3.24,3.06,2.95,3.20,3.32,2.84,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600185,3.81,3.27,2.98,3.13,3.43,3.13,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600190,3.57,3.30,2.96,3.12,2.76,3.09,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600192,3.21,3.15,2.93,2.51,2.70,3.07,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600193,3.50,3.23,2.90,3.25,3.14,3.21,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600195,3.21,3.10,2.56,2.68,2.96,3.05,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600198,3.88,3.52,3.31,3.20,2.67,3.26,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600209,3.90,3.46,3.42,3.24,3.14,3.05,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600223,3.19,2.99,2.33,2.74,2.88,3.04,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600233,3.50,3.04,3.39,2.73,3.25,3.28,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600262,3.83,3.42,2.88,2.31,2.43,2.86,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600273,3.90,3.40,3.40,3.57,3.50,3.25,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600279,3.46,2.55,2.76,2.78,3.19,3.07,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600300,3.40,2.64,3.36,3.33,3.30,3.32,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600301,3.64,2.90,3.00,3.05,3.04,3.00,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600307,3.57,2.53,2.75,3.01,2.91,3.11,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600330,3.43,2.82,2.89,3.41,3.16,3.39,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600338,3.62,2.92,3.01,2.86,3.21,3.39,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600344,3.89,3.50,3.05,3.52,3.11,3.39,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600345,3.68,3.10,2.96,2.68,2.83,3.18,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600346,3.89,3.52,3.65,3.93,3.69,3.86,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600347,3.75,3.10,3.27,3.42,3.53,3.57,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600348,3.90,3.56,3.19,3.20,3.43,3.43,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600354,3.82,2.77,2.88,2.72,3.31,3.39,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600356,3.65,3.16,3.30,3.64,3.38,3.64,null,null
