polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,185538,null,null,null,null,null,null,null,66676(T)
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,400096,null,null,null,null,null,null,null,67162(T)
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,400119,null,null,null,null,null,null,null,"66641(T), 66662(T),
68546(T)"
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500031,null,null,null,null,null,null,null,66662(T)
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500042,null,null,null,null,null,null,null,66662(T)
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500092,null,null,null,null,null,null,null,67064(T)
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2016,2020-2021,500104,null,null,null,null,null,null,null,67064(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,101518,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400284,null,null,null,null,null,null,null,"66641(T), 66662(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400323,null,null,null,null,null,null,null,"66662(T), 66672(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400335,null,null,null,null,null,null,null,66662(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400363,null,null,null,null,null,null,null,"66662(T), 66664(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400377,null,null,null,null,null,null,null,"66641(T), 66653(T),
66661(T), 66662(T), 66672(T), 66842(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400382,null,null,null,null,null,null,null,"66641(T), 66661(T),
66664(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400391,null,null,null,null,null,null,null,"66641(T), 66662(T),
68546(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400413,null,null,null,null,null,null,null,66662(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400417,null,null,null,null,null,null,null,"66662(T), 68546(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400589,null,null,null,null,null,null,null,66973(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400656,null,null,null,null,null,null,null,67131(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400704,null,null,null,null,null,null,null,"66447(T), 66454(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400794,null,null,null,null,null,null,null,66454(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400828,null,null,null,null,null,null,null,"67064(T), 67071(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400891,null,null,null,null,null,null,null,"66834(T), 66867(T),
67064(T), 67071(T), 67162(T), 69271(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500220,null,null,null,null,null,null,null,66662(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500247,null,null,null,null,null,null,null,66662(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500260,null,null,null,null,null,null,null,"66662(T), 66671(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500262,null,null,null,null,null,null,null,66662(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500266,null,null,null,null,null,null,null,66662(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500277,null,null,null,null,null,null,null,66678(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500285,null,null,null,null,null,null,null,"66662(T), 66678(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500400,null,null,null,null,null,null,null,66662(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500406,null,null,null,null,null,null,null,"66651(T), 66662(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500411,null,null,null,null,null,null,null,"66662(T), 66678(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500430,null,null,null,null,null,null,null,66662(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500536,null,null,null,null,null,null,null,66662(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500630,null,null,null,null,null,null,null,"66363(T), 66961(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500655,null,null,null,null,null,null,null,"66363(T), 66952(T),
67045(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500666,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500709,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500734,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500775,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500781,null,null,null,null,null,null,null,"66961(T), 66973(T),
66974(T), 66975(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500811,null,null,null,null,null,null,null,"65841(T), 66363(T),
66974(T), 67045(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500816,null,null,null,null,null,null,null,66974(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500819,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500846,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500995,null,null,null,null,null,null,null,67261(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501002,null,null,null,null,null,null,null,67041(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501042,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501059,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501078,null,null,null,null,null,null,null,66441(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501092,null,null,null,null,null,null,null,66447(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501116,null,null,null,null,null,null,null,66441(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501143,null,null,null,null,null,null,null,"66631(T), 67071(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501146,null,null,null,null,null,null,null,66631(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501147,null,null,null,null,null,null,null,"66867(T), 67064(T),
67071(T), 69262(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501157,null,null,null,null,null,null,null,66867(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501171,null,null,null,null,null,null,null,66867(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501173,null,null,null,null,null,null,null,"66867(T), 69271(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501196,null,null,null,null,null,null,null,"66631(T), 66867(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501198,null,null,null,null,null,null,null,66867(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501206,null,null,null,null,null,null,null,66867(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501207,null,null,null,null,null,null,null,66867(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,518325,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,549030,null,null,null,null,null,null,null,66662(T)
"Pirgonj Polytechnic Institute, Thakurgaon",12097,2016,2020-2021,301078,null,null,null,null,null,null,null,"66454(T),
66455(T)"
"Pirgonj Polytechnic Institute, Thakurgaon",12097,2016,2020-2021,501226,null,null,null,null,null,null,null,66456(T)
"Pirgonj Polytechnic Institute, Thakurgaon",12097,2016,2020-2021,501263,null,null,null,null,null,null,null,"66771(T), 67045(T)"
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,401088,null,null,null,null,null,null,null,66641(T)
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,401163,null,null,null,null,null,null,null,"66631(T), 66761(T),
66867(T)"
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501303,null,null,null,null,null,null,null,"66456(T), 66474(T)"
