polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,189266,null,null,null,null,null,26421(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,188099,null,null,null,null,null,27261(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,188100,null,null,null,null,null,27261(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,400844,null,null,null,null,null,"25922(T),
27061(T), 29241(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,501179,null,null,null,null,null,"25931(T),
27131(T), 29262(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600105,null,null,null,null,null,25921(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600132,null,null,null,null,null,26447(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600136,null,null,null,null,null,29041(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600137,null,null,null,null,null,29041(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600139,null,null,null,null,null,"26464(T),
29041(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600157,null,null,null,null,null,"25921(T),
25931(T), 26447(T), 26464(T), 29041(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600168,null,null,null,null,null,26464(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600171,null,null,null,null,null,"25931(T),
26447(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600175,null,null,null,null,null,26464(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600186,null,null,null,null,null,25931(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600187,null,null,null,null,null,26447(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600188,null,null,null,null,null,26464(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600189,null,null,null,null,null,25931(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600194,null,null,null,null,null,"25931(T),
26447(T), 26464(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600200,null,null,null,null,null,26464(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600201,null,null,null,null,null,"25931(T),
26151(T), 26464(T), 29041(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600203,null,null,null,null,null,29041(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600205,null,null,null,null,null,26464(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600211,null,null,null,null,null,26464(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600212,null,null,null,null,null,"26151(T),
26431(T), 26464(T), 29041(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600217,null,null,null,null,null,26464(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600218,null,null,null,null,null,"26447(T),
26464(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600219,null,null,null,null,null,26447(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600226,null,null,null,null,null,"25922(T),
25931(T), 26464(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600228,null,null,null,null,null,"25912(T),
25921(T), 25922(T), 25931(T), 26431(T),
26447(T), 26464(T), 29041(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600231,null,null,null,null,null,25921(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600234,null,null,null,null,null,29041(T),null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600235,null,null,null,null,null,"25931(T),
26447(T), 26464(T), 29041(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600239,null,null,null,null,null,"25831(T),
25922(T), 25931(T), 26431(T), 26447(T),
26464(T), 29041(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600246,null,null,null,null,null,"25931(T),
26447(T), 29041(T)",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600247,null,null,null,null,null,26431(T),null,null
