polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2022-2023,790083,null,null,null,28542(T),null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2022-2023,700030,null,null,null,"25841(T), 25931(T), 26811(T,P),
27041(T,P), 27042(T,P), 27043(T,P), 27131(T,P),
29041(T,P)",null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2022-2023,700043,null,null,null,"25831(T), 26831(T), 26841(T,P),
28541(T,P), 28542(T,P), 28543(T,P), 28544(T,P),
29041(T,P)",null,null,null,null
"Rainbow Polytechnic Institute, Panchagar",11047,2022,2022-2023,795002,null,null,null,"25811(T), 25841(T), 26712(T),
26722(T,P), 26741(T,P), 26742(T,P), 26743(P),
26845(T,P), 27044(T,P)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600288,null,null,null,"25921(T), 26941(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600315,null,null,null,"26811(T), 26932(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600420,null,null,null,26943(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600484,null,null,null,"25841(T), 25931(T), 27041(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600535,null,null,null,25921(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600596,null,null,null,"25841(T), 25912(T), 25913(T), 25921(T),
25931(T), 26811(T), 27041(T), 27231(T),
27242(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600645,null,null,null,"25841(T), 25913(T), 25921(T),
25931(T), 27041(T), 27131(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600658,null,null,null,"25913(T), 25921(T), 25931(T),
27041(T), 27231(T), 27242(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600740,null,null,null,"25931(T), 28541(T), 28542(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600751,null,null,null,"28531(T), 28541(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600759,null,null,null,"25931(T), 28531(T), 28541(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600760,null,null,null,"25921(T), 28542(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600781,null,null,null,"25921(T), 25931(T), 28541(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600801,null,null,null,"25912(T), 25921(T), 25922(T), 28531(T),
28541(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600811,null,null,null,"26811(T), 28541(T), 28542(T),
29041(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600832,null,null,null,"25921(T), 28541(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600885,null,null,null,"25921(T), 25922(T), 28531(T),
28541(T), 28542(T), 28544(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,600888,null,null,null,"25931(T), 26811(T), 28531(T),
28541(T), 28542(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,601056,null,null,null,"25912(T), 25921(T), 25931(T), 27041(T),
28567(T), 29241(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,601084,null,null,null,"26821(T), 27131(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700051,null,null,null,26447(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700052,null,null,null,"26142(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700054,null,null,null,"25911(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700056,null,null,null,"25912(T), 25931(T), 26141(T),
26142(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700057,null,null,null,"25921(T), 26131(T), 26141(T), 26447(T),
26711(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700058,null,null,null,26447(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700062,null,null,null,"25912(T), 25921(T), 25922(T),
25931(T), 26142(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700064,null,null,null,"26141(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700070,null,null,null,"25912(T), 26141(T), 26142(T),
26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700073,null,null,null,25921(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700074,null,null,null,"25911(T), 26142(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700076,null,null,null,"25921(T), 26141(T), 26142(T),
26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700080,null,null,null,"25911(T), 25921(T), 26142(T),
26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700108,null,null,null,"26142(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700113,null,null,null,"25722(T), 25911(T), 25921(T), 25922(T),
25931(T), 26141(T), 26142(T), 26447(T),
26711(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700115,null,null,null,25922(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700120,null,null,null,25722(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700121,null,null,null,"25922(T), 25931(T), 26141(T),
26142(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700125,null,null,null,"25911(T), 25921(T), 25922(T), 26141(T),
26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700126,null,null,null,"25911(T), 25921(T), 25931(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700127,null,null,null,"26141(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700133,null,null,null,"25911(T), 25921(T), 26142(T),
26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700136,null,null,null,"25921(T), 26142(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700145,null,null,null,"26141(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700151,null,null,null,"25911(T), 25912(T), 25921(T), 25931(T),
26141(T), 26142(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700186,null,null,null,"25911(T), 25921(T), 25931(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700194,null,null,null,"25921(T), 26141(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700195,null,null,null,"26141(T), 26142(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700196,null,null,null,"25921(T), 25931(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700206,null,null,null,"25921(T), 25922(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2022-2023,700221,null,null,null,26447(T),null,null,null,null
